,Compound,Date,Negative,Neutral,Positive,Tweets ago,tweet_text,twitter source account
120,0.0,Wed Oct 03 04:53:57 +0000 2018,0.0,1.0,0.0,121,"RT @fmanjoo: I'm going to quit using Facebook to sign on to stuff. So should you. 

Use a password manager. Use Google. After the massive h…",@nytimes
119,-0.2732,Wed Oct 03 05:02:06 +0000 2018,0.104,0.896,0.0,120,A veteran journalist who has become a critic of Saudi leaders entered the Saudi consulate in Istanbul on Tuesday af… https://t.co/SWRp949XE2,@nytimes
118,0.0,Wed Oct 03 05:07:06 +0000 2018,0.0,1.0,0.0,119,RT @marclacey: Hurricane Florence may be over but it's not really over. https://t.co/INqHdo3app,@nytimes
117,-0.0,Wed Oct 03 05:15:04 +0000 2018,0.156,0.734,0.11,118,"More than 2,500 Afghans are braving serious security risks to run for parliament. Seven candidates have already bee… https://t.co/iSZYr8t9KA",@nytimes
116,-0.8316,Wed Oct 03 05:21:04 +0000 2018,0.423,0.577,0.0,117,4 members of a militant white-supremacist organization were arrested on charges of inciting a riot in Charlottesvil… https://t.co/pJ4h5VOLNT,@nytimes
115,0.0258,Wed Oct 03 05:30:04 +0000 2018,0.161,0.717,0.121,116,"If you're looking to help those affected by the earthquake and tsunami that struck Indonesia, here's some advice https://t.co/aFEw0imlZc",@nytimes
114,-0.6369,Wed Oct 03 05:45:04 +0000 2018,0.245,0.755,0.0,115,"South Korea announced a sweeping crackdown on “fake news,” calling it “a destroyer of democracy.” Critics say it’s… https://t.co/LuMRQiodMh",@nytimes
113,-0.4019,Wed Oct 03 06:00:13 +0000 2018,0.114,0.886,0.0,114,"“As long as governments exist, corruption will exist,” Do Muoi once said. “It is an illness of government, and it c… https://t.co/vIOQAghOrk",@nytimes
112,-0.6486,Wed Oct 03 06:15:05 +0000 2018,0.177,0.823,0.0,113,"RT @nytvideo: Videos and satellite images show the devastating impact of the earthquake in Indonesia, which moved entire houses and destroy…",@nytimes
111,-0.6378,Wed Oct 03 06:30:09 +0000 2018,0.167,0.833,0.0,112,"The big water off Nazaré, Portugal, once almost killed Maya Gabeira, a surfer. Now it has put her in the record boo… https://t.co/jAFKjZLw5O",@nytimes
110,0.0,Wed Oct 03 06:45:04 +0000 2018,0.0,1.0,0.0,111,President Trump has sold himself as a self-made billionaire but our investigation found that he received more than… https://t.co/GAzkfLdBRF,@nytimes
109,0.4404,Wed Oct 03 06:52:05 +0000 2018,0.0,0.813,0.187,110,"In Opinion

""A growing body of literature suggesting that the immune system is involved in psychiatric disorders fr… https://t.co/tRTg4BvC94",@nytimes
108,-0.6808,Wed Oct 03 07:00:06 +0000 2018,0.228,0.772,0.0,109,"After Elon Musk threatened that he would quit, the Tesla board caved to his demands to fight the S.E.C. settlement,… https://t.co/RsyknBLGFn",@nytimes
107,-0.8979,Wed Oct 03 07:15:04 +0000 2018,0.421,0.579,0.0,108,"Sexual assaults, knife attacks and suicide attempts are commonplace at Europe’s largest refugee camp. Aid groups wa… https://t.co/VGnfp2Mz9A",@nytimes
106,-0.4445,Wed Oct 03 07:30:10 +0000 2018,0.207,0.793,0.0,107,"In Amsterdam, it’s not just the number of tourists that pose a problem. It’s how they behave. https://t.co/LOte66aY80",@nytimes
105,0.0,Wed Oct 03 07:45:05 +0000 2018,0.0,1.0,0.0,106,"""I’m going to quit using Facebook to log in to apps and sites online. You should, too,"" writes our tech columnist… https://t.co/elTIuA2YLJ",@nytimes
104,-0.4767,Wed Oct 03 07:52:44 +0000 2018,0.119,0.881,0.0,105,RT @PatrickKingsley: This Greek refugee camp is the biggest in Europe. Yet aid workers say its conditions are worse than many camps in the…,@nytimes
103,0.8591,Wed Oct 03 08:00:10 +0000 2018,0.0,0.642,0.358,104,"Chinese state TV has a new tool that it hopes will inspire interest in President Xi Jinping, China's most powerful… https://t.co/zFSWMzQWIZ",@nytimes
102,0.5927,Wed Oct 03 08:15:03 +0000 2018,0.0,0.839,0.161,103,Marks &amp; Spencer is a cultural fixture in the daily lives of millions of Britons. But as profit falls and e-commerce… https://t.co/sb96Ux0gCM,@nytimes
101,0.296,Wed Oct 03 08:30:12 +0000 2018,0.0,0.891,0.109,102,"In this Egyptian-Australian family, dogs were treated with a kind but practical sense of reserve. Until Max came al… https://t.co/ZPhYZ6jKlf",@nytimes
100,-0.8481,Wed Oct 03 08:45:03 +0000 2018,0.313,0.687,0.0,101,"Poisonous batches of bootleg alcohol killed at least 42 people, blinded more than a dozen and sent hundreds to the… https://t.co/nB98P2gTaf",@nytimes
99,0.7269,Wed Oct 03 09:00:06 +0000 2018,0.0,0.724,0.276,100,"We hope you have time to read the complete investigation into Trump's wealth by @SusanneCraig, @DavidBarstow and… https://t.co/ggtx1QzzUD",@nytimes
98,-0.5859,Wed Oct 03 09:14:06 +0000 2018,0.231,0.769,0.0,99,"Jamal Khashoggi, a Saudi journalist who has become a sharp critic of the country's leadership, was detained in the… https://t.co/MfQ2U9Rdif",@nytimes
97,-0.7003,Wed Oct 03 09:30:06 +0000 2018,0.244,0.756,0.0,98,"CBS fired Brad Kern, a producer who had been accused of misconduct ranging from mistreatment of women to racially i… https://t.co/hxdubAhHtp",@nytimes
96,-0.0258,Wed Oct 03 09:41:02 +0000 2018,0.143,0.717,0.139,97,France publicly linked Iran’s intelligence services to a foiled bomb plot that targeted a June meeting near Paris o… https://t.co/nE7YJL6lJO,@nytimes
95,0.0,Wed Oct 03 09:50:03 +0000 2018,0.0,1.0,0.0,96,"10 years ago, Mark Zuckerberg introduced a tool that connects other sites and apps to Facebook passwords. Now these… https://t.co/Q1RUGb7Vzm",@nytimes
94,-0.3818,Wed Oct 03 10:11:05 +0000 2018,0.12,0.88,0.0,95,"RT @peterbakernyt: Abandoning the restraint urged on him by advisers and Senate Republicans, Trump goes after Christine Blasey Ford before…",@nytimes
93,0.7906,Wed Oct 03 10:14:57 +0000 2018,0.0,0.696,0.304,94,Breaking News: Three evolutionary scientists won the Nobel Prize in Chemistry. They applied principles of Darwin to… https://t.co/lJs7CvEEf4,@nytimes
92,0.0,Wed Oct 03 10:20:03 +0000 2018,0.0,1.0,0.0,93,Morning Briefing: Here's what you need to know to start your day https://t.co/5Juq6epxLF https://t.co/JFeN1ANM3P,@nytimes
91,-0.4939,Wed Oct 03 10:29:05 +0000 2018,0.158,0.842,0.0,92,"Pope Francis’ reputation, which once seemed unassailable, has sustained considerable damage in the wake of the sex… https://t.co/7m1qMfnrcy",@nytimes
90,0.5965,Wed Oct 03 10:44:04 +0000 2018,0.0,0.607,0.393,91,How Trump really got rich https://t.co/2I1W3ZTURj https://t.co/7nPkU3kCaP,@nytimes
89,0.0,Wed Oct 03 11:00:07 +0000 2018,0.0,1.0,0.0,90,"In 2006, the American Bar Association raised questions about Brett Kavanaugh's demeanor and veracity https://t.co/cvfVebkTJt",@nytimes
88,-0.6597,Wed Oct 03 11:15:04 +0000 2018,0.196,0.804,0.0,89,Cervical cancer could be eliminated in Australia within the next two decades because of a government program to vac… https://t.co/sh8lubU39E,@nytimes
87,0.5859,Wed Oct 03 11:20:07 +0000 2018,0.0,0.853,0.147,88,RT @susannecraig: Couldn’t sleep so I went out to Queens to watch the press run of our  tax story. What an amazing rush. https://t.co/UsV8p…,@nytimes
86,0.0,Wed Oct 03 11:30:08 +0000 2018,0.0,1.0,0.0,87,The overcrowding at this refugee camp is so extreme that asylum seekers spend as much as 12 hours a day waiting in… https://t.co/q7yBQiekK3,@nytimes
85,0.8271,Wed Oct 03 11:41:03 +0000 2018,0.0,0.648,0.352,86,"In a rebuke to the Trump administration, the International Court of Justice ordered the United States to ease some… https://t.co/uS6aEKLMKu",@nytimes
84,0.0,Wed Oct 03 11:49:01 +0000 2018,0.0,1.0,0.0,85,"By age 3, Donald Trump was earning $200,000 a year in today’s dollars from his father’s empire.

In all, financial… https://t.co/fZ9wLEJe5B",@nytimes
83,0.3182,Wed Oct 03 12:00:06 +0000 2018,0.0,0.887,0.113,84,"Your daily @DealBook Briefing:

• Trump's empire was built on gifts and tax dodges. 

• Amazon’s wage increase is b… https://t.co/GXu6un5SYH",@nytimes
82,0.2732,Wed Oct 03 12:09:01 +0000 2018,0.0,0.9,0.1,83,RT @nytimesworld: It has taken 18 years and successive governments for politicians to recognize that sanitary products are a necessary heal…,@nytimes
81,-0.3612,Wed Oct 03 12:21:02 +0000 2018,0.128,0.872,0.0,82,"Law enforcement officials in Missouri don't know the whereabouts of more than 1,200 registered sex offenders, accor… https://t.co/4NOAIpnlhZ",@nytimes
80,0.6124,Wed Oct 03 12:31:05 +0000 2018,0.0,0.826,0.174,81,"David Hockney says he is not a churchgoer, but on Tuesday a window that he designed was formally dedicated in Westm… https://t.co/20u7FmR0KV",@nytimes
79,0.6124,Wed Oct 03 12:44:05 +0000 2018,0.0,0.792,0.208,80,Cellphones across the United States will get a test alert at 2:18 p.m. Eastern. It will be the first nationwide tes… https://t.co/xw6mXhvJ2Q,@nytimes
78,0.0,Wed Oct 03 13:00:13 +0000 2018,0.0,1.0,0.0,79,Morning Briefing: Here's what you need to know to start your day https://t.co/d0CXjH0RKU https://t.co/UcmXYxdFpq,@nytimes
77,0.4019,Wed Oct 03 13:15:05 +0000 2018,0.0,0.803,0.197,78,How to help survivors of the Indonesia earthquake and tsunami https://t.co/QH4yQoRtB8 https://t.co/Prcrole8Cs,@nytimes
76,0.3182,Wed Oct 03 13:30:14 +0000 2018,0.0,0.881,0.119,77,"In her first public statement since dropping from public view 4 months ago, Fan Bingbing offered a contrite apology… https://t.co/FHRD2W0jXv",@nytimes
