,Compound,Date,Negative,Neutral,Positive,Tweets ago,tweet_text,twitter source account
146,-0.2247,Mon Sep 24 13:01:06 +0000 2018,0.127,0.873,0.0,147,"So. Awkward. 🍗😳😂

When @lilyallen had to turn down chicken wings from @Drake... 

https://t.co/4pCjbGbUjY",@BBC
145,0.6361,Mon Sep 24 13:59:07 +0000 2018,0.0,0.705,0.295,146,"✈️Is this one of the world's most beautiful airports?

https://t.co/ewqnUMEhZY https://t.co/aFxlQBAET6",@BBC
144,0.0,Mon Sep 24 15:06:34 +0000 2018,0.0,1.0,0.0,145,"Papa… what? 🤔😂 

A new series of Letterbox starts today at 6pm on @BBCTwo. 
https://t.co/NLP3Hx0YSK https://t.co/c8myHijbdz",@BBC
143,0.0,Mon Sep 24 15:17:27 +0000 2018,0.0,1.0,0.0,144,"RT @bbcdoctorwho: 1,2,3,4…. Thirteen #DoctorWho #Sheffield https://t.co/xaDWu2DmtF",@BBC
142,0.2144,Mon Sep 24 15:53:55 +0000 2018,0.099,0.773,0.128,143,RT @BBCOne: How easy is it to get help for mental health when you need it? 14-year-old Jess was refused treatment for anxiety but went on t…,@BBC
141,0.0,Mon Sep 24 16:26:11 +0000 2018,0.0,1.0,0.0,142,"RT @BBCOne: We're doing this to the letter, fellas. #LineOfDuty is back in t-w-e-n-t-y n-i-n-e-t-e-e-n. @martin_compston @Vicky_McClure htt…",@BBC
140,-0.2714,Mon Sep 24 16:32:08 +0000 2018,0.099,0.901,0.0,141,"✨🕺💃 @ZoeTheBall is back to give the lowdown on this series of @BBCStrictly!

Strictly - It Takes Two | 6:30pm |… https://t.co/6rLJAtcYYx",@BBC
139,-0.34,Mon Sep 24 18:02:07 +0000 2018,0.112,0.888,0.0,140,"Keeping the head on is an unwritten rule of the job... 😳️⚽️

A video of Colorado's football mascot accidentally sho… https://t.co/vn9YzZeMLj",@BBC
138,0.6369,Mon Sep 24 20:45:07 +0000 2018,0.0,0.802,0.198,139,"️⚽️🏆 @HKane, @hazardeden10 and @MoSalah are on the shortlist for the best men's player, while England's @LucyBronze… https://t.co/3cD3mKTSMk",@BBC
137,0.6369,Tue Sep 25 07:32:06 +0000 2018,0.0,0.769,0.231,138,"🎓What's the best university name in the world to put on a job application?

https://t.co/2uEYRC075L https://t.co/tLmNn6W4Rt",@BBC
136,0.0,Tue Sep 25 08:02:07 +0000 2018,0.0,1.0,0.0,137,"🤔🎨Quiz: Can you guess which musicians painted these pictures?

https://t.co/CNo9uMGasj https://t.co/YrQeRins9E",@BBC
